Date,Type,Value,Description
01/07/2025,DEPOSIT,1000.00,Allowance from parents
03/07/2025,EXPENDITURE,250.00,New guitar picks (because she loses them all)
05/07/2025,EXPENDITURE,150.00,Cute stationery for band notes
07/07/2025,DEPOSIT,200.00,Part-time gig earnings
09/07/2025,EXPENDITURE,600.00,Concert tickets for the band
11/07/2025,EXPENDITURE,120.00,Coffee to survive practice sessions
13/07/2025,EXPENDITURE,350.00,Anime merch impulse buy
15/07/2025,DEPOSIT,300.00,Refund from online store (finally!)
17/07/2025,EXPENDITURE,80.00,Sweets for the band members
19/07/2025,EXPENDITURE,400.00,Guitar string replacements (again)
21/07/2025,DEPOSIT,150.00,Casual weekend freelancing
23/07/2025,EXPENDITURE,50.00,Extra notebooks and pens
